timestep,reward
192,-1.3662
19392,0.9462
38592,0.8591
57792,0.7861
76992,0.7752
96192,0.7215
115392,0.7425
134592,0.8302
153792,0.8824
172992,0.8564
192192,0.7804
211392,0.9171
230592,0.9383
249792,0.8836
268992,0.817
288192,0.7906
307392,0.8847
326592,0.8742
345792,0.8836
364992,0.8709
384192,0.8819
403392,0.9352
422592,0.872
441792,0.8895
460992,0.883
480192,0.837
499392,0.9468
518592,0.9075
537792,0.9122
556992,0.9246
576192,0.9613
595392,1.0589
614592,1.0193
633792,0.939
652992,0.9182
672192,1.0264
691392,0.9973
710592,0.9842
729792,0.9827
748992,0.9699
768192,0.9883
787392,1.0131
806592,1.0127
825792,0.9909
844992,0.9896
864192,0.9533
883392,0.9932
902592,1.0117
921792,1.058
940992,0.9158
960192,0.9624
979392,1.0636
998592,0.9271
1017792,0.9546
1036992,1.036
1056192,1.0251
1075392,1.0117
1094592,0.937
1113792,1.0182
1132992,0.7997
1152192,0.944
1171392,0.9429
1190592,1.0279
1209792,1.0251
1228992,0.9663
1248192,0.913
1267392,0.9037
1286592,0.9045
1305792,0.9333
1324992,0.9921
1344192,0.9188
1363392,0.965
1382592,0.897
1401792,0.916
1420992,0.9422
1440192,0.8966
1459392,0.9292
1478592,1.0053
1497792,1.0101
1516992,0.9918
1536192,0.9592
1555392,0.9711
1574592,0.9413
1593792,0.9487
1612992,1.0076
1632192,0.9425
1651392,0.9736
1670592,0.9084
1689792,1.0124
1708992,0.9754
1728192,1.0483
1747392,0.8536
1766592,0.9049
1785792,0.847
1804992,0.9861
1824192,0.9624
1843392,1.0173
1862592,0.9433
1881792,1.0546
1900992,1.0667
