timestep,reward
192,0.034
19392,0.1542
38592,0.129
57792,0.1544
76992,0.2387
96192,0.24
115392,0.3136
134592,0.412
153792,0.5507
172992,0.577
192192,0.5372
211392,0.7248
230592,0.7686
249792,0.8051
268992,0.7756
288192,0.8081
307392,0.9225
326592,0.8853
345792,1.0352
364992,0.9366
384192,0.9606
403392,1.0461
422592,0.9711
441792,0.9135
460992,1.0281
480192,1.0003
499392,1.0751
518592,1.0014
537792,1.0489
556992,1.0068
576192,1.1294
595392,1.1507
614592,1.1778
633792,1.051
652992,1.0413
672192,1.1712
691392,1.1947
710592,1.1723
729792,1.1697
748992,1.1988
768192,1.1398
787392,1.1788
806592,1.1019
825792,1.1667
844992,1.2011
864192,1.1917
883392,1.1748
902592,1.1932
921792,1.2392
940992,1.0873
960192,1.1117
979392,1.2475
998592,1.1095
1017792,1.1385
1036992,1.1431
1056192,1.216
1075392,1.2527
1094592,1.0763
1113792,1.2647
1132992,1.0314
1152192,1.0255
1171392,1.048
1190592,1.1218
1209792,1.1009
1228992,1.0725
1248192,1.0239
1267392,1.021
1286592,0.9751
1305792,0.9759
1324992,1.1548
1344192,1.0652
1363392,1.1324
1382592,0.9789
1401792,1.0259
1420992,1.0882
1440192,1.0252
1459392,1.0562
1478592,1.1148
1497792,1.0748
1516992,1.0348
1536192,1.0493
1555392,1.1552
1574592,1.0391
1593792,0.9934
1612992,1.0906
1632192,1.1011
1651392,1.0162
1670592,0.9507
1689792,1.122
1708992,1.098
1728192,1.2502
1747392,0.8755
1766592,1.0458
1785792,1.0497
1804992,1.1344
1824192,1.0854
1843392,1.142
1862592,1.0436
1881792,1.1747
1900992,1.2394
1920192,1.0324
1939392,1.0776
1958592,1.1673
1977792,1.0591
1996992,0.9728
2016192,0.9337
2035392,1.1883
2054592,1.1631
2073792,0.9789
2092992,1.0308
2112192,1.0732
2131392,1.1539
2150592,1.1513
2169792,1.0512
2188992,1.0836
2208192,1.1069
2227392,1.1096
2246592,1.0475
2265792,1.0873
2284992,1.0764
2304192,1.0178
2323392,1.1607
2342592,1.0672
2361792,1.1745
2380992,1.1233
2400192,0.9741
2419392,0.9804
2438592,1.1443
2457792,0.9224
2476992,1.025
2496192,1.0274
2515392,1.0938
2534592,0.9913
2553792,1.1436
2572992,1.0595
2592192,1.0137
2611392,1.17
2630592,1.0444
2649792,0.9242
2668992,0.9811
2688192,0.9872
2707392,1.1077
2726592,1.0606
2745792,1.094
2764992,1.1197
2784192,0.9346
2803392,1.1276
2822592,1.0796
2841792,0.9538
2860992,1.0589
2880192,1.0702
2899392,1.0152
2918592,1.0468
2937792,1.0289
2956992,1.1084
2976192,1.0702
2995392,1.1155
3014592,0.9573
3033792,0.9668
3052992,1.0612
3072192,1.0852
3091392,1.0714
3110592,0.9972
3129792,1.0234
3148992,1.0123
3168192,1.0573
3187392,1.1294
3206592,1.0161
3225792,0.9384
3244992,0.9984
3264192,1.0597
3283392,1.1938
3302592,1.1014
3321792,0.9605
3340992,0.9343
3360192,1.0013
3379392,0.9556
3398592,1.1199
3417792,1.0683
3436992,1.1353
3456192,1.0366
3475392,0.9425
3494592,1.0502
3513792,1.0495
3532992,1.0232
3552192,1.0611
3571392,1.0469
3590592,0.9942
3609792,1.0724
3628992,0.9821
3648192,1.0351
3667392,0.9985
3686592,1.0208
3705792,1.0053
3724992,1.0966
3744192,1.0947
