timestep,reward
1,0.8849
260,0.8169
514,0.856
781,0.8435
1025,0.8706
1276,0.8632
1528,0.8607
1790,0.8148
2036,0.8451
2272,0.9626
2565,0.8299
2825,0.95
3103,1.5459
3360,1.5502
3623,1.5388
3903,1.5749
4185,1.647
4444,1.6955
4704,1.6713
4973,1.6475
5224,1.715
5512,1.8503
5771,1.7559
6013,1.8343
6287,1.748
6544,1.832
6801,1.8143
7088,1.7876
7355,1.8218
7649,1.8097
7909,1.747
8184,1.9396
8468,1.9203
8749,1.7787
9041,1.7567
9311,1.8281
9605,1.8727
9880,1.9781
10163,1.7776
10417,1.8192
10691,1.6311
10974,1.7043
11241,1.7277
11533,1.9009
11825,1.8354
12106,1.8016
12398,1.6686
12666,1.9168
12941,1.9123
13228,1.9123
13527,1.6569
13813,1.7934
14120,1.91
14401,1.7612
14711,1.7088
15007,1.8867
15298,1.68
15621,1.6841
15919,1.7341
16236,1.6645
16530,1.6611
16831,1.5216
17133,1.3759
17439,1.4107
17738,1.3579
18038,1.4156
18322,1.7122
18633,1.6001
18891,1.7104
19219,1.7829
19538,1.8143
19829,1.7562
20146,1.6513
20454,1.8302
20748,1.6175
21050,1.6158
21353,1.3464
21637,1.4576
21940,1.5567
22248,1.5465
22577,1.5556
22869,1.6567
23190,1.9298
23486,2.0576
23795,1.9322
24138,2.052
24446,1.9144
24734,1.867
25060,1.9531
25399,1.5586
25706,1.7766
26027,1.8963
26359,1.788
26681,1.8228
27030,1.7531
27344,1.7446
27672,2.0994
28005,1.9388
28348,2.0049
28680,1.9765
29019,1.8082
29308,1.9837
29609,1.6852
29919,1.7724
30222,1.7953
30554,1.8927
30862,1.7627
31161,1.763
31484,2.222
31808,1.7955
32142,1.9894
32464,1.7184
32764,1.8769
33106,1.6815
33436,1.8587
33766,1.6179
34077,1.7276
34421,1.6763
34747,1.9596
35060,1.7573
35398,1.8759
35734,1.881
36061,1.8776
36382,1.8711
36705,1.6412
37036,1.9966
37364,1.826
37690,1.9594
37986,1.8699
38296,1.8692
38613,1.6735
38944,1.8211
39283,1.6118
39602,1.6192
39918,1.9067
40223,1.8831
40524,1.6735
40845,1.6633
41182,1.7121
41527,1.6885
41880,2.126
42244,1.6934
42589,1.9497
42919,1.7418
43252,1.7611
43562,1.7168
43889,1.7535
44217,1.6619
44534,1.8498
44836,1.8533
45192,2.1228
45508,1.7574
45794,1.7689
46123,2.1065
46457,1.69
46794,1.7146
47160,2.1116
47498,1.9971
47807,1.9317
48157,1.6764
48505,1.6818
48791,1.7173
49094,1.6309
49406,1.5776
49744,1.7438
50080,1.7208
50416,1.6888
50715,1.6985
51024,1.74
51362,1.6908
51684,1.6177
51998,1.6978
