timestep,reward
1,-1.7533
366,-1.6607
752,-1.6267
1119,-1.6068
1501,-1.5934
1830,-1.6377
2206,-1.0
2558,0.5863
2931,0.6424
3284,0.8829
3657,0.972
4000,0.6354
4374,-0.0098
4744,0.1283
5151,1.1438
5529,1.1956
5918,0.6991
6298,0.7039
6669,0.7612
7012,0.7266
7368,0.8018
7759,0.2411
8171,0.3387
8569,0.3126
8972,0.3856
9382,-0.324
9812,0.7952
10196,-0.2402
10567,-0.2264
10968,0.1415
11350,0.1086
11732,0.7253
12110,0.1502
12546,0.2317
12945,-0.045
13353,0.2571
13768,0.1883
14202,0.3172
14645,0.3961
15075,0.1911
15503,0.0983
15946,0.111
16379,0.2919
16810,0.7527
17285,0.6992
17733,0.6612
18153,0.918
18645,1.074
19111,0.9672
19591,0.9559
20071,1.1697
20594,0.9645
21081,1.0363
21587,1.2571
22085,1.0429
22556,1.2075
23080,1.3098
23584,1.367
24099,1.575
24615,0.9928
25139,0.9426
25674,0.3108
26174,0.9723
26717,0.9282
27238,0.3401
27795,0.1424
28325,1.0131
28864,0.3824
29411,0.3449
29945,0.4845
30522,0.2636
31076,0.3818
31638,0.4589
32218,0.5183
32808,0.5201
33412,0.4791
33991,0.3285
34602,0.4764
35210,0.481
35828,0.5375
36457,0.136
37096,-0.555
37705,-0.4628
38345,0.5645
38961,0.3997
39599,0.6598
40239,0.5099
40866,0.6853
41506,0.312
42160,0.1272
42791,0.7422
43441,0.1878
44053,0.6955
44675,0.1181
45296,0.1887
45935,0.7776
46572,0.8476
47178,1.4013
47821,1.1517
48441,1.0583
49059,1.634
49693,1.9663
50350,1.3999
50997,0.8427
51618,0.9595
52250,1.229
52881,0.8105
53529,0.6984
54156,0.9581
54780,0.8102
55424,0.622
56059,0.7285
56700,1.162
57357,0.6616
57995,1.3362
58623,1.2495
59247,1.5762
59906,1.2719
60544,1.3144
61194,1.4609
61823,1.2351
62461,1.1332
63082,1.2509
63711,1.8546
64341,1.2714
64987,1.3914
65629,1.2127
66267,1.3866
66907,1.936
67538,1.8157
68183,1.9937
68826,1.7432
69481,1.877
70143,1.894
70801,1.8761
71416,1.8579
72061,1.7229
72701,1.8031
73343,1.9079
73972,2.0693
74621,1.8726
75270,1.8405
75906,1.7521
76534,1.6948
77176,1.7571
77816,1.3148
78466,1.3747
79100,1.4784
79739,1.6083
80384,1.5061
81018,1.4942
81663,1.4648
82313,1.4521
82946,1.6594
83574,1.6618
84193,1.5382
84846,1.5581
85495,1.9047
86113,2.009
86761,1.8268
87415,1.9089
88079,1.9718
88733,1.9305
89360,1.1581
89977,1.3131
90606,1.9919
91249,1.6788
91878,1.4035
92535,1.9441
93185,1.3658
93820,1.292
94455,0.7235
95105,1.4222
95731,0.7755
96369,0.727
97001,0.543
97628,0.6902
98255,0.5935
98901,0.6947
99522,0.6658
100150,0.5849
100780,0.7875
101408,0.7823
102044,0.7247
102661,0.7555
103283,0.727
103886,0.8039
104526,0.5264
105169,1.4212
105800,0.7729
106433,0.7656
107049,0.6518
107671,1.2739
108289,1.333
108924,0.1499
109552,0.3272
110178,0.2553
110803,0.2814
111430,0.3337
112064,0.36
112692,0.3127
113303,0.3117
113921,0.3366
114534,0.2609
115173,0.2266
115825,0.3151
116447,0.4582
117081,0.3065
117721,0.2164
118335,0.3341
118966,0.3897
119594,0.1573
120226,0.4279
120853,0.3076
121481,0.3681
122110,0.2091
122740,0.1666
123365,0.334
123993,0.4028
124619,1.6097
125256,1.3373
125859,0.7939
126490,0.7019
127119,1.1392
127748,1.5218
128371,1.3119
129006,1.3019
129635,1.4511
130281,1.387
130916,0.6725
131540,1.5816
132148,1.334
132781,1.1721
133424,1.4297
134049,1.0647
134692,1.4638
135333,1.0316
135963,1.2192
136607,1.3347
137227,1.4503
137869,1.289
138501,1.5274
139129,1.4839
139773,1.2466
140402,1.5225
141044,0.8281
141679,1.2285
142302,2.0057
142945,1.9162
143577,1.9151
144206,1.9831
144840,1.388
145464,1.4779
146100,2.001
146727,1.845
147372,1.9655
148012,2.0622
148645,2.0467
149274,1.8239
149914,1.7687
150544,1.6918
151188,1.979
151797,1.8138
152422,1.765
153056,2.0907
153677,1.7298
154321,2.0388
154962,1.9124
155602,1.9047
156253,1.9213
156890,1.7935
157524,1.848
158160,1.7233
158785,1.3526
159423,1.3522
160046,1.507
160684,1.4716
161320,1.3748
161921,1.4423
162549,0.9785
163164,1.4478
163771,0.7479
164404,0.0785
165033,0.218
165654,1.0313
166268,0.8829
166887,0.2585
167511,0.1909
168126,0.2975
168758,0.0628
169359,0.9411
169965,0.8477
170587,0.8066
171217,0.382
171856,0.1626
172485,0.9622
173113,0.8051
173731,0.7427
174357,0.8869
174981,0.7842
175602,1.17
176214,0.8887
176843,0.9931
177480,0.2475
178089,0.18
178723,0.8904
179350,0.2359
179964,0.2789
180598,1.0183
181218,0.9554
181832,0.2915
182449,0.3993
183088,0.4771
183733,0.6514
184361,0.6854
184988,0.8754
185622,0.6218
186238,0.8654
186876,0.8532
187519,0.8703
188136,0.7921
188781,0.8393
189394,0.8216
190013,1.246
190650,1.4442
191274,1.2566
191916,1.2881
192543,0.9194
193182,0.8508
193802,0.7758
194425,0.9101
195046,0.7491
195670,0.8693
196293,0.8356
196922,0.7419
197557,0.8249
198179,0.8651
198812,0.8858
199429,0.7701
200045,0.8571
200676,0.7123
201314,0.8894
201941,0.9272
202585,0.8109
203206,0.7836
203820,0.8564
204436,1.4282
205057,0.7754
205688,1.5421
206300,1.9825
206918,1.2261
207565,1.974
208207,1.3215
208832,1.9663
209471,1.8638
210077,1.9053
210708,1.881
211354,1.948
211989,1.4974
212598,1.5466
213240,1.3897
213883,1.4571
214525,1.2677
215140,1.3554
215761,1.483
216392,1.3827
217023,1.2863
217648,1.3986
218284,1.1957
218913,1.2863
219529,1.3074
220177,1.3723
220802,1.1898
221407,1.3481
222026,1.251
222635,1.2163
223262,1.4594
223900,1.5213
224530,1.4272
225162,1.4005
225795,1.5272
226424,1.2103
