timestep,reward
1,-0.0165
263,-0.007
531,0.0005
790,-0.0535
1037,-0.0002
1296,0.0207
1550,0.0625
1801,-0.0186
2070,-0.0154
2327,-0.0256
2608,0.024
2856,0.0191
3131,-0.0174
3385,0.0423
3634,-0.0163
3910,-0.0271
4146,0.0679
4424,0.0265
4694,0.0414
4938,0.0147
5241,-0.0137
5490,-0.005
5728,0.0097
6003,-0.0208
6270,0.0031
6535,-0.0184
6797,-0.0171
7059,-0.0236
7310,0.0044
7583,0.014
7826,0.0302
8115,-0.0216
8391,-0.0185
8673,-0.0028
8936,-0.0216
9210,-0.023
9477,0.0216
9764,0.058
9997,-0.0044
10288,0.0078
10575,0.0302
10842,0.0141
11131,0.0279
11378,-0.0063
11659,-0.0092
11881,0.0053
12158,-0.0108
12420,-0.0231
12675,-0.054
12951,-0.018
13226,-0.0281
13491,0.0001
13743,-0.012
14028,-0.0031
14322,-0.0317
14548,-0.0076
14803,-0.0053
15078,0.0744
15379,0.0091
15657,0.0027
15943,-0.0055
16189,0.0001
16440,0.0267
16703,0.0137
16973,-0.0068
17262,-0.0449
17541,0.0204
17777,0.061
18048,0.0061
18311,0.0412
18597,0.0034
18886,-0.0242
19143,-0.0716
19396,0.0947
19692,0.2942
20034,0.7147
20446,1.1743
20890,1.446
21377,1.492
21894,1.4841
22371,1.5524
22885,1.5712
23376,1.4113
23865,1.4068
24372,1.5191
24849,1.5212
25332,1.5364
25809,1.5322
26324,1.5587
26819,1.5346
27304,1.423
27785,1.5492
28288,1.4992
28767,1.5328
29268,1.6475
29772,1.4814
30295,1.4412
30781,1.5818
31279,1.492
31790,1.507
32275,1.5768
32793,1.5682
33316,1.4528
33823,1.5056
34359,1.572
34863,1.4094
35376,1.4309
35878,1.4832
36388,1.5131
36921,1.5924
37430,1.4342
37938,1.6122
38454,1.609
38968,1.4969
39480,1.3719
39974,1.5666
40495,1.5442
40997,1.4475
41500,1.5832
42022,1.5222
42528,1.6615
43042,1.4999
43551,1.387
44080,1.5256
44596,1.4371
45100,1.53
45614,1.4414
46145,1.5033
46664,1.5202
47158,1.4527
47673,1.3736
48163,1.5523
48684,1.4649
49194,1.4378
49706,1.4044
50215,1.4748
50732,1.4033
51244,1.5222
51770,1.5827
52282,1.457
52800,1.4445
53319,1.4445
53866,1.5031
54375,1.488
54880,1.4951
55387,1.5202
55897,1.5211
56404,1.4982
56911,1.4983
57452,1.6039
57957,1.5733
58465,1.5113
58965,1.55
59466,1.4185
59980,1.6127
60480,1.5848
60999,1.4811
61517,1.4699
62039,1.5789
62565,1.5576
63092,1.5277
63579,1.5224
64098,1.5664
64607,1.505
65121,1.4917
65648,1.6052
66162,1.5622
66657,1.4546
67171,1.4709
67695,1.4436
68200,1.5401
68719,1.5356
69214,1.5771
69708,1.6735
70240,1.5482
70754,1.5672
71286,1.5384
71809,1.5582
72321,1.5736
72860,1.4829
73386,1.5292
73877,1.6091
74386,1.4313
74903,1.5276
75435,1.5401
75946,1.5631
76476,1.5116
76975,1.4813
77448,1.536
77953,1.4993
78457,1.5557
